case_type,case,private_source_archive,canonical_locked_evidence_object,evidence_object_sha256,evidence_object_size_bytes,public_release_policy,reason_not_redistributed
Internal major revision,MOATTERS,AIT1.zip,20260727_MOATTERS/07_AUDITORS/01_ADJUDICATION/MOATTERS_STAGE9_FINAL_LOCK_MANIFEST.json,0721d64a3134207f934613e2d6fcec2eb8346fc9482da8a6300cee731a912552,1144,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Internal submission package,PS3.0,AIT1.zip,20260731_PS3.0/08_ARCHIVES/PS3.0_FINAL_LOCK_20260731T215040+0800/FINAL_LOCK_RECORD.json,efe7d9f1d6a78052d46795e33bb555ff0e841c2d7043fc9860691fc5d72cb84a,1130,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Published software method,GSEA,AIT2.zip,20260803_GSEA/GSEA_FINAL_LOCK_20260804T081000+0800.zip,5bd9d867e2c2ea62b5caca8f23d46c17462be678f789eef0e342dad093a2f50c,958831,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Published software method,Pathifier,AIT2.zip,20260804_Pathifier/08_ARCHIVES/PATHIFIER_FINAL_LOCK_20260804T123400+0800/CONTROL/FINAL_LOCK_STATE.json,95d3619673897d1529744e17cc18608623674f1562b4cae956d1f05530d4a54e,552,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Published software method,PROGENy,AIT2.zip,20260804_PROGENy/AIDO-AIT-PROGENy_PROGENy_FINAL_LOCK_20260804T204516+0800.zip,2bf038b51bfc5342fa7227a1fe6296738927a76fa8446dd99ccbad4de7255e18,2855001,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Published software method,SPIA,AIT2.zip,20260804_SPIA/SPIA_FINAL_LOCK_20260804T224100+0800.zip,70f2968d9229ff27e0cda91d08f2f8351fb1eb18280668b854bbb255a6202009,29698,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Published software method,PARADIGM,AIT2.zip,20260804_PARADIGM/PARADIGM_FINAL_LOCK_20260804T235500+0800_SHA256.txt,c8aa33e509d548d32ab7a2eb00af30fe0f71dd3edcdd685dc0bebef0c6449139,111,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,Hanahan & Weinberg review,AIT2.zip,20260805_ReviewArticle/Hanahan2012/HANAHAN2012_FINAL_LOCK_20260805T234000+0800.zip,22183f6c99692d2f62e7ae791dc8fe20c3b38c51bb7f534d55604cf89b7dab22,14462043,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,Armstrong precision-medicine case,AIT2.zip,20260805_Armstrong/CASESTUDY_FINAL_LOCK_20260806T002500+0800.zip,cb4e5d0bcdb47df08b1f2c46792e9b5a411fd47b2b74186e29fd0880fc52e8d4,1443197,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,Wilson diagnostic-metagenomics case,AIT2.zip,20260806_Wilson/NEUROLEPTOSPIROSIS2014_FINAL_LOCK_20260806T114000+0800.zip,d51bc0bb2d47288f9726a85fef029257072a8ec3610fbee9f21af6f25005123e,3875573,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,Ioannidis methodological essay,AIT2.zip,20260806_Ioannidis/IOANNIDIS_FINAL_LOCK_20260806T125208+0800.zip,3ab4bd7f2bcbd23fb438e8e32571d0d605e8f38efb26a5ff72f0f76a1f27522c,484170,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,FAIR commentary,AIT2.zip,20260806_Wilkinson/FAIR2016_FINAL_LOCK_20260806T145400+0800.zip,67f1f7037af325cad271f2163bcb835b5e76b8507c69ba69c82fb1ba885ea4a5,596399,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,PRISMA 2020,AIT2.zip,20260806_PRISMA2020/PRISMA2020_FINAL_LOCK_20260806T194109+0800.zip,46e92b7d7678da8788c95f403254f7cb620d1ef067fb8558aa87bc3b93f91d7a,3450964,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,COPD Web protocol,AIT2.zip,20260806_Stenlund2019/AIDO_AIT_PROTOCOL_COPDWEB_M8_FINAL_LOCK_20260806.zip,6e1305da1fb153b57cccf11c84ff6d0751302b9bda11fb8af1ca41613f73a7dc,675080,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
Scientific document,WATCHFUL RCT,AIT2.zip,20260806_Circulation2023/AIDO_AIT_WATCHFUL_M8_FINAL_LOCK_PACKAGE.zip,c688eed133b78cc9c1d7f8200f0e1531b53c1ae3ab91c07991743d71db72dfcb,100832,HASH_AND_METADATA_INDEX_ONLY,"Private development archives may contain copyrighted source papers, third-party materials, unpublished manuscript inputs or internal correspondence."
